Ticker,Name,Year,ISIN Number,SIC Code,GICS Industry,Country or Territory of Domicile,Number of Employees,Total Assets,R&D Expense,R&D Expense Adjusted,Operating Expenses R&D,Cash and Cash Equivalents,Environmental Disclosure Score,Social Disclosure Score,Governance Disclosure Score,Tobin's Q Ratio,Return on Assets,Return on Common Equity,Gross Margin
LMAT UQ Equity,LeMaitre Vascular Inc,2016,US5255582018,3841,351010,US,380,101.924,6.141,6.141,6.141,24.288,#N/A N/A,3.5088,51.7857,4.7627,10.9953,12.8066,70.5948
AZO UN Equity,AutoZone Inc,2016,US0533321024,5531,255040,US,84000,8599.787,0,0,0,189.734,1.5504,19.2982,51.7857,3.759,14.8605,#N/A N/A,52.7351
FSS UN Equity,Federal Signal Corp,2016,US3138551086,3711,201060,US,2200,643.2,13.4,#N/A N/A,#N/A N/A,50.7,#N/A N/A,#N/A N/A,51.7857,1.8337,6.6886,10.9541,25.8652
AVY UN Equity,Avery Dennison Corp,2016,US0536111091,2670,151030,US,25000,4396.4,89.7,#N/A N/A,#N/A N/A,195.1,26.3566,28.0702,66.0714,2.2,7.5193,33.915,27.9257
FCF UN Equity,First Commonwealth Financial Corp,2016,US3198291078,6021,401010,US,1217,6684.018,#N/A N/A,#N/A N/A,#N/A N/A,91.033,#N/A N/A,#N/A N/A,51.7857,1.0766,0.8994,8.1104,#N/A N/A
MODV UW Equity,ModivCare Inc,2016,US60783X1046,4700,351020,US,7590,685.279,0,0,0,72.262,#N/A N/A,#N/A N/A,48.2143,1.5235,10.594,25.1825,7.9921
JACK UW Equity,Jack in the Box Inc,2016,US4663671091,5812,253010,US,22200,1345.012,0,0,0,17.03,2.0833,14.0351,55.3571,3.4731,9.3676,#N/A N/A,48.4257
PAYC UN Equity,Paycom Software Inc,2016,US70432V1026,7372,451030,US,2075,1078.613,20.966,20.966,20.966,60.158,1.5504,12.2807,51.7857,3.3099,7.2032,65.5564,83.5736
HPP UN Equity,Hudson Pacific Properties Inc,2016,US4440971095,6798,601010,US,257,6678.998,#N/A N/A,#N/A N/A,#N/A N/A,83.015,3.876,8.7719,51.7857,1.3456,0.4209,1.1414,#N/A N/A
GATX UN Equity,GATX Corp,2016,US3614481030,4700,201070,US,2260,7105.4,0,0,0,307.5,1.5504,19.2982,55.3571,1.1522,3.673,19.5707,41.303
BLL UN Equity,Ball Corp,2016,US0584981064,3411,151030,US,18450,16173,0,0,0,597,51.1628,49.1228,73.2143,1.5993,2.0332,11.2249,19.4791
AJRD UN Equity,Aerojet Rocketdyne Holdings Inc,2016,US0078001056,3760,201010,US,4965,2249.5,590.7,0,0,410.3,0.7752,14.0351,51.7857,1.5372,0.8403,#N/A N/A,16.1188
KEYS UN Equity,Keysight Technologies Inc,2016,US49338L1035,3823,452030,US,10300,3796,425,425,425,783,50.3876,42.1053,66.0714,2.0876,9.1731,23.8011,55.6546
GDOT UN Equity,Green Dot Corp,2016,US39304D1028,6199,402020,US,974,1740.344,0,0,0,732.676,#N/A N/A,14.0351,51.7857,1.2907,2.4244,6.0574,#N/A N/A
GGG UN Equity,Graco Inc,2016,US3841091040,3561,201060,US,#N/A N/A,1243.109,60.606,60.606,60.606,52.365,#N/A N/A,24.5614,55.3571,4.2704,3.0878,6.7265,53.2794
BK UN Equity,Bank of New York Mellon Corp/The,2016,US0640581007,6022,402030,US,52000,333469,#N/A N/A,#N/A N/A,#N/A N/A,62863,50,36.6667,75,1.0432,0.9755,9.544,#N/A N/A
AVNS UN Equity,Avanos Medical Inc,2016,US05350V1061,3842,351010,US,12000,2071.8,38.4,38.4,38.4,113.7,34.1085,38.5965,57.1429,1.3011,1.9548,3.6889,52.4903
HAE UN Equity,Haemonetics Corp,2016,US4050241003,3841,351010,US,3225,1319.128,44.965,43.607,44.965,115.123,#N/A N/A,#N/A N/A,48.2143,1.8156,-3.9635,-7.1822,44.6633
AVNT UN Equity,Avient Corp,2016,US05368V1061,2821,151010,US,7000,2735.8,50.4,#N/A N/A,#N/A N/A,225.5,35.6589,35.0877,55.3571,1.7025,6.1978,23.1227,23.0416
MTX UN Equity,Minerals Technologies Inc,2016,US6031581068,2810,151010,US,3583,2863.4,23.8,23.8,23.8,188.5,17.0543,19.2982,60.7143,1.5919,4.5658,13.9176,28.1074
BAX UN Equity,Baxter International Inc,2016,US0718131099,3841,351010,US,48000,15546,647,647,647,2801,58.9147,43.8596,71.4286,2.0058,27.1995,57.9482,40.4408
TPX UN Equity,Tempur Sealy International Inc,2016,US88023U1016,2510,252010,US,7300,2698.8,26.7,26.7,26.7,65.7,1.5504,19.2982,51.7857,2.393,7.1195,#N/A N/A,41.7878
HE UN Equity,Hawaiian Electric Industries Inc,2016,US4198701009,4911,551010,US,3796,12425.506,0,#N/A N/A,#N/A N/A,278.452,22.069,29.6875,55.3571,1.1227,2.0667,12.4302,57.262
BDX UN Equity,Becton Dickinson and Co,2016,US0758871091,3841,351010,US,50900,25586,828,828,828,1541,44.186,24.5614,60.7143,2.1999,3.7492,13.1919,47.9933
MTH UN Equity,Meritage Homes Corp,2016,US59001A1025,1531,252010,US,1485,2888.691,0,0,0,131.702,1.5504,8.7719,51.7857,0.9902,5.371,11.158,18.095
VREX UW Equity,Varex Imaging Corp,2016,US92214X1063,3844,351010,US,1400,622.4,53.5,53.5,53.5,36.5,#N/A N/A,3.5088,3.5714,#N/A N/A,11.3599,13.5563,40.0581
HMN UN Equity,Horace Mann Educators Corp,2016,US4403271046,6331,403010,US,1440,10576.824,#N/A N/A,#N/A N/A,#N/A N/A,16.67,#N/A N/A,#N/A N/A,51.7857,1.0405,0.8119,6.5476,#N/A N/A
